Cluster,Agency,Year,PT/FT,Gender,Headcount
Education,Education Agency 1,2014,Full-Time,Female, 180 
Education,Education Agency 2,2014,Full-Time,Female," 2,463 "
Education,Education Agency 3,2014,Full-Time,Female, 32 
Education,Education Agency 4,2014,Full-Time,Female," 39,251 "
Family & Community Services,Family & Community Services Agency 1,2014,Full-Time,Female," 9,817 "
Family & Community Services,Family & Community Services Agency 2,2014,Full-Time,Female, 44 
Family & Community Services,Family & Community Services Agency 3,2014,Full-Time,Female, 82 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2014,Full-Time,Female," 3,205 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2014,Full-Time,Female, 308 
Health,Health Agency 1,2014,Full-Time,Female, 76 
Health,Health Agency 10,2014,Full-Time,Female, 58 
Health,Health Agency 11,2014,Full-Time,Female, 83 
Health,Health Agency 12,2014,Full-Time,Female, 22 
Health,Health Agency 13,2014,Full-Time,Female," 2,306 "
Health,Health Agency 14,2014,Full-Time,Female, 72 
Health,Health Agency 15,2014,Full-Time,Female, 70 
Health,Health Agency 16,2014,Full-Time,Female," 3,186 "
Health,Health Agency 17,2014,Full-Time,Female," 6,024 "
Health,Health Agency 18,2014,Full-Time,Female," 2,698 "
Health,Health Agency 19,2014,Full-Time,Female, 730 
Health,Health Agency 2,2014,Full-Time,Female, 262 
Health,Health Agency 20,2014,Full-Time,Female, 11 
Health,Health Agency 21,2014,Full-Time,Female," 1,612 "
Health,Health Agency 22,2014,Full-Time,Female, 434 
Health,Health Agency 23,2014,Full-Time,Female," 1,657 "
Health,Health Agency 24,2014,Full-Time,Female," 2,446 "
Health,Health Agency 25,2014,Full-Time,Female," 1,686 "
Health,Health Agency 26,2014,Full-Time,Female," 5,113 "
Health,Health Agency 27,2014,Full-Time,Female," 6,124 "
Health,Health Agency 28,2014,Full-Time,Female," 6,052 "
Health,Health Agency 29,2014,Full-Time,Female, 924 
Health,Health Agency 3,2014,Full-Time,Female," 1,609 "
Health,Health Agency 30,2014,Full-Time,Female," 2,897 "
Health,Health Agency 31,2014,Full-Time,Female," 5,826 "
Health,Health Agency 32,2014,Full-Time,Female," 2,812 "
Health,Health Agency 33,2014,Full-Time,Female," 6,274 "
Health,Health Agency 4,2014,Full-Time,Female, 22 
Health,Health Agency 5,2014,Full-Time,Female, 120 
Health,Health Agency 6,2014,Full-Time,Female," 2,579 "
Health,Health Agency 7,2014,Full-Time,Female, 60 
Health,Health Agency 8,2014,Full-Time,Female, 154 
Health,Health Agency 9,2014,Full-Time,Female, 415 
Industry,Industry Agency 1,2014,Full-Time,Female," 1,840 "
Industry,Industry Agency 2,2014,Full-Time,Female, 81 
Industry,Industry Agency 3,2014,Full-Time,Female, 86 
Industry,Industry Agency 4,2014,Full-Time,Female, 24 
Industry,Industry Agency 5,2014,Full-Time,Female, 288 
Industry,Industry Agency 6,2014,Full-Time,Female, 29 
Industry,Industry Agency 7,2014,Full-Time,Female," 10,216 "
Industry,Industry Agency 8,2014,Full-Time,Female, 149 
Justice,Justice Agency 1,2014,Full-Time,Female, 86 
Justice,Justice Agency 10,2014,Full-Time,Female, 363 
Justice,Justice Agency 11,2014,Full-Time,Female, 266 
Justice,Justice Agency 12,2014,Full-Time,Female, 151 
Justice,Justice Agency 13,2014,Full-Time,Female, 33 
Justice,Justice Agency 14,2014,Full-Time,Female, 92 
Justice,Justice Agency 2,2014,Full-Time,Female, 248 
Justice,Justice Agency 3,2014,Full-Time,Female," 5,436 "
Justice,Justice Agency 4,2014,Full-Time,Female, 389 
Justice,Justice Agency 5,2014,Full-Time,Female, 17 
Justice,Justice Agency 6,2014,Full-Time,Female, 602 
Justice,Justice Agency 7,2014,Full-Time,Female, 195 
Justice,Justice Agency 8,2014,Full-Time,Female, 63 
Justice,Justice Agency 9,2014,Full-Time,Female," 6,003 "
Planning & Environment,Planning & Environment Agency 1,2014,Full-Time,Female, 106 
Planning & Environment,Planning & Environment Agency 2,2014,Full-Time,Female, 367 
Planning & Environment,Planning & Environment Agency 3,2014,Full-Time,Female, 191 
Planning & Environment,Planning & Environment Agency 4,2014,Full-Time,Female, 81 
Planning & Environment,Planning & Environment Agency 5,2014,Full-Time,Female," 1,370 "
Planning & Environment,Planning & Environment Agency 6,2014,Full-Time,Female, 41 
Planning & Environment,Planning & Environment Agency 7,2014,Full-Time,Female, 169 
Planning & Environment,Planning & Environment Agency 8,2014,Full-Time,Female, 714 
Premier & Cabinet,Premier & Cabinet Agency 1,2014,Full-Time,Female, 14 
Premier & Cabinet,Premier & Cabinet Agency 10,2014,Full-Time,Female, 27 
Premier & Cabinet,Premier & Cabinet Agency 11,2014,Full-Time,Female, 71 
Premier & Cabinet,Premier & Cabinet Agency 2,2014,Full-Time,Female, 261 
Premier & Cabinet,Premier & Cabinet Agency 3,2014,Full-Time,Female, 85 
Premier & Cabinet,Premier & Cabinet Agency 4,2014,Full-Time,Female, 58 
Premier & Cabinet,Premier & Cabinet Agency 5,2014,Full-Time,Female, 18 
Premier & Cabinet,Premier & Cabinet Agency 6,2014,Full-Time,Female, 14 
Premier & Cabinet,Premier & Cabinet Agency 7,2014,Full-Time,Female, 32 
Premier & Cabinet,Premier & Cabinet Agency 8,2014,Full-Time,Female, 267 
Premier & Cabinet,Premier & Cabinet Agency 9,2014,Full-Time,Female, 129 
Transport,Transport Agency 1,2014,Full-Time,Female, 413 
Transport,Transport Agency 2,2014,Full-Time,Female, 44 
Transport,Transport Agency 3,2014,Full-Time,Female," 1,446 "
Transport,Transport Agency 4,2014,Full-Time,Female, 362 
Transport,Transport Agency 5,2014,Full-Time,Female," 1,595 "
Transport,Transport Agency 6,2014,Full-Time,Female," 1,318 "
Treasury,Treasury Agency 1,2014,Full-Time,Female, 311 
Treasury,Treasury Agency 2,2014,Full-Time,Female, 578 
Treasury,Treasury Agency 3,2014,Full-Time,Female, 258 
Education,Education Agency 1,2014,Full-Time,Male, 107 
Education,Education Agency 2,2014,Full-Time,Male," 2,797 "
Education,Education Agency 3,2014,Full-Time,Male, 6 
Education,Education Agency 4,2014,Full-Time,Male," 16,463 "
Family & Community Services,Family & Community Services Agency 1,2014,Full-Time,Male," 3,803 "
Family & Community Services,Family & Community Services Agency 2,2014,Full-Time,Male, 22 
Family & Community Services,Family & Community Services Agency 3,2014,Full-Time,Male, 24 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2014,Full-Time,Male," 3,276 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2014,Full-Time,Male, 109 
Health,Health Agency 1,2014,Full-Time,Male, 33 
Health,Health Agency 10,2014,Full-Time,Male, 18 
Health,Health Agency 11,2014,Full-Time,Male, 38 
Health,Health Agency 12,2014,Full-Time,Male, 28 
Health,Health Agency 13,2014,Full-Time,Male," 1,190 "
Health,Health Agency 14,2014,Full-Time,Male, 15 
Health,Health Agency 15,2014,Full-Time,Male, 47 
Health,Health Agency 16,2014,Full-Time,Male," 1,851 "
Health,Health Agency 17,2014,Full-Time,Male," 2,247 "
Health,Health Agency 18,2014,Full-Time,Male," 1,191 "
Health,Health Agency 19,2014,Full-Time,Male, 317 
Health,Health Agency 2,2014,Full-Time,Male, 99 
Health,Health Agency 20,2014,Full-Time,Male, 6 
Health,Health Agency 21,2014,Full-Time,Male, 787 
Health,Health Agency 22,2014,Full-Time,Male, 227 
Health,Health Agency 23,2014,Full-Time,Male, 534 
Health,Health Agency 24,2014,Full-Time,Male, 999 
Health,Health Agency 25,2014,Full-Time,Male, 897 
Health,Health Agency 26,2014,Full-Time,Male," 2,229 "
Health,Health Agency 27,2014,Full-Time,Male," 2,561 "
Health,Health Agency 28,2014,Full-Time,Male," 2,194 "
Health,Health Agency 29,2014,Full-Time,Male, 336 
Health,Health Agency 3,2014,Full-Time,Male," 3,042 "
Health,Health Agency 30,2014,Full-Time,Male, 868 
Health,Health Agency 31,2014,Full-Time,Male," 2,635 "
Health,Health Agency 32,2014,Full-Time,Male," 1,111 "
Health,Health Agency 33,2014,Full-Time,Male," 2,571 "
Health,Health Agency 4,2014,Full-Time,Male, 9 
Health,Health Agency 5,2014,Full-Time,Male, 30 
Health,Health Agency 6,2014,Full-Time,Male," 1,121 "
Health,Health Agency 7,2014,Full-Time,Male, 27 
Health,Health Agency 8,2014,Full-Time,Male, 275 
Health,Health Agency 9,2014,Full-Time,Male, 146 
Industry,Industry Agency 1,2014,Full-Time,Male," 2,502 "
Industry,Industry Agency 2,2014,Full-Time,Male, 460 
Industry,Industry Agency 3,2014,Full-Time,Male, 306 
Industry,Industry Agency 4,2014,Full-Time,Male, 42 
Industry,Industry Agency 5,2014,Full-Time,Male, 389 
Industry,Industry Agency 6,2014,Full-Time,Male, 66 
Industry,Industry Agency 7,2014,Full-Time,Male," 7,875 "
Industry,Industry Agency 8,2014,Full-Time,Male, 444 
Justice,Justice Agency 1,2014,Full-Time,Male, 102 
Justice,Justice Agency 10,2014,Full-Time,Male, 273 
Justice,Justice Agency 11,2014,Full-Time,Male, 613 
Justice,Justice Agency 12,2014,Full-Time,Male, 156 
Justice,Justice Agency 13,2014,Full-Time,Male, 64 
Justice,Justice Agency 14,2014,Full-Time,Male, 88 
Justice,Justice Agency 2,2014,Full-Time,Male, 109 
